/SCREENDATA
SCREEN_WITH = 1024
SCREEN_HEIGHT = 800
HEX_SIZE = 48
/END
/COLORS
province no. 0:1.0,0.84313726,0.0,1.0
province no. 1:0.0,1.0,0.0,1.0
province no. 2:0.19607843,0.8039216,0.19607843,1.0
province no. 3:1.0,0.0,1.0,1.0
province no. 4:0.6901961,0.1882353,0.3764706,1.0
province no. 5:0.0,0.0,0.5,1.0
province no. 6:0.41960785,0.5568628,0.13725491,1.0
province no. 7:1.0,0.0,0.0,1.0
province no. 8:0.25490198,0.4117647,0.88235295,1.0
/END
/PROV_LOOKUP
-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8,8,8,
-1,-1,0,0,0,0,-1,-1,8,8,8,-1,8,8,8,
-1,0,0,0,0,0,-1,8,8,8,8,8,8,8,8,
-1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,
0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,
0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,
-1,0,0,0,0,0,8,8,8,8,8,8,8,8,8,
-1,-1,3,3,3,2,2,2,8,8,8,8,-1,-1,-1,
-1,3,3,3,2,2,2,2,8,8,8,8,-1,-1,-1,
-1,3,3,3,2,2,2,2,2,8,8,8,-1,-1,-1,
3,3,3,2,2,2,2,2,8,8,8,-1,-1,-1,-1,
-1,3,3,3,2,2,2,2,8,8,8,-1,-1,5,-1,
3,3,3,1,1,1,8,8,8,8,-1,-1,5,5,-1,
-1,3,3,1,1,1,1,6,8,8,-1,-1,5,5,5,
3,3,1,1,1,1,1,6,6,6,-1,5,5,5,5,
-1,-1,-1,1,1,1,1,6,6,6,6,5,5,5,5,
-1,-1,1,1,1,1,1,6,6,6,6,5,5,5,5,
-1,-1,1,1,1,1,1,1,6,6,6,6,5,5,5,
-1,1,1,1,1,1,1,-1,6,6,6,6,5,5,5,
-1,-1,4,4,4,4,4,-1,7,6,6,6,5,5,-1,
-1,4,4,4,4,4,-1,7,7,6,6,-1,-1,-1,-1,
-1,4,4,4,4,4,-1,7,7,7,7,7,-1,-1,-1,
4,4,4,4,4,-1,-1,7,7,7,7,7,-1,-1,-1,
4,4,4,4,4,-1,-1,7,7,7,7,7,-1,-1,-1,
4,4,4,4,-1,-1,7,7,7,7,7,-1,-1,-1,-1,
-1,4,4,4,-1,-1,-1,7,7,7,7,-1,-1,-1,-1,
-1,4,4,-1,-1,-1,-1,7,7,7,-1,-1,-1,-1,-1,
/END
